time / s,Au,Au(I)Cl2-,Au(II)Cl4^2-,Au(III)Cl4-,Au2Cl6^2-,Cl,Cl-,Cl2,Cl2-,Cl2O,Cl2O2,Cl2O3,Cl2O4,Cl3-,ClO,ClO-,ClO2,ClO2-,ClO3,ClO3-,ClOH-,H,H+,H2,H2O,H2O2,HCl,HClO,HClO2,HO2,HO2-,HO3,O,O-,O2,O2-,O3,O3-,O4,OH,OH-,eh-
1.9584431301466254e-35,3.2580275403219907e-236,2.8416985259378404e-178,5.0642252795087935e-59,0.01,1.89542259340852e-144,3.351250854284168e-230,3.79084518681704e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6290466682428582e-278,9.682370366568198e-221,0.0,0.0,0.0,0.0,1.7864316672785227e-201,2.0297832707293782e-32,0.0100001,3.450631560239943e-33,55.56,9.539981372428078e-33,3.574892494197259e-182,4.464693204403138e-220,0.0,1.623826616583503e-33,1.2145327816641899e-64,1.919867532981427e-156,9.341755490282713e-71,9.380428350378752e-64,0.000255,3.3630739929665434e-60,6.712895111206484e-100,6.066616548870632e-93,0.0,7.368113272747643e-32,1e-07,7.043347949430944e-32
2.7989759409110044e-35,4.9404327689039457e-234,3.260432661100873e-177,1.0344021579162074e-58,0.01,9.978636764979725e-144,6.315254421642034e-228,1.995727352995945e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.100239540570967e-276,1.5165676506724097e-219,0.0,0.0,0.0,0.0,2.798121094485301e-200,2.900934141299179e-32,0.0100001,4.931588040208606e-33,55.56,1.3634390464106142e-32,4.101665303907774e-181,6.99313187538667e-219,0.0,2.320747313039344e-33,2.4807650941138005e-64,1.1699161717105442e-155,1.9081165439013205e-70,1.9160157363203465e-63,0.000255,6.869305379506918e-60,1.8896997896812235e-99,1.707770466626145e-92,0.0,1.0530390932916022e-31,1e-07,1.0066241470308154e-31
1.1204304048554797e-34,5.2242169548437575e-230,2.7037002250513246e-174,1.6575279420796025e-57,0.01,1.681745426612799e-140,2.462595124491774e-224,3.363490853225598e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095221255024886e-271,5.267651248709708e-216,0.0,0.0,0.0,0.0,9.719003350012988e-197,1.161244284699719e-31,0.0100001,1.974115283989523e-32,55.56,5.45784813808868e-32,3.4012888956633974e-178,2.428996809963568e-215,0.0,9.289954277597758e-33,3.9751826016225786e-63,1.1231135084069364e-152,3.0575694994992454e-69,3.070227180125876e-62,0.000255,1.1007387718667909e-58,1.4113861781702777e-97,1.2755061122646092e-90,0.0,4.215316753459981e-31,1e-07,4.029517667908026e-31
1.960963215619859e-34,3.3717946137304315e-228,2.8686768340145577e-172,5.0772667525905916e-57,0.01,1.906512094907922e-139,3.470892799409498e-222,3.813024189815844e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7260288176037334e-269,9.78513681772609e-214,0.0,0.0,0.0,0.0,1.8053924419371934e-194,2.03239515526952e-31,0.0100001,3.4550717639581856e-32,55.56,9.552257229766746e-32,3.608831545144884e-176,4.512080430749023e-213,0.0,1.6259161242156167e-32,1.217660465703667e-62,1.9333077930322762e-151,9.365812526855752e-69,9.40458497791312e-62,0.000255,3.3717346343343024e-58,6.736938887214314e-97,6.0883455297365735e-90,0.0,7.377594413628359e-31,1e-07,7.052411188785237e-31
2.801496026384238e-34,4.9915051909079226e-226,3.279847228474826e-171,1.036265664732459e-56,0.01,1.0021300419873763e-138,6.382507427050025e-220,2.0042600839747526e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.181764856968706e-267,1.5267509780254895e-212,0.0,0.0,0.0,0.0,2.816909694562632e-193,2.9035460258393213e-31,0.0100001,4.936028243926848e-32,55.56,1.3646666321444812e-31,4.1260890738994646e-175,7.040088798857076e-212,0.0,2.322836820671458e-32,2.4852342675653646e-62,1.1752663819721205e-150,1.9115540736459657e-68,1.9194674966993767e-61,0.000255,6.881680641197606e-58,1.8946089962736055e-96,1.7122070433135206e-89,0.0,1.0539872073796738e-30,1e-07,1.0075304709662448e-30
1.120682413402803e-33,5.251102183658188e-222,2.712512395282284e-168,1.658273652269299e-55,0.01,1.6832799923994666e-135,2.47717039835634e-216,3.366559984798933e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1163301037521684e-262,5.285925775763258e-209,0.0,0.0,0.0,0.0,9.75272050045966e-190,1.1615054731537332e-30,0.0100001,1.9745593043613473e-31,55.56,5.459075723822547e-31,3.412374716671046e-172,2.437423481704135e-208,0.0,9.292043785229869e-32,3.976971008379822e-61,1.1248591941156204e-147,3.0589450785610525e-67,3.071608453789373e-60,0.000255,1.1012339865159906e-56,1.4121722992806347e-94,1.2762165501991375e-87,0.0,4.216264867548052e-30,1e-07,4.030423991843456e-30
1.9612152241671825e-33,3.3833283259257503e-220,2.871386261628117e-166,5.078571822288361e-55,0.01,1.907623915276712e-134,3.4830285146172705e-214,3.815247830553424e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7358734696158547e-260,9.795463197270946e-207,0.0,0.0,0.0,0.0,1.807297695581586e-187,2.0326563437235344e-30,0.0100001,3.4555157843300094e-31,55.56,9.553484815500611e-31,3.612240039167342e-170,4.51684208671079e-206,0.0,1.6261250749788281e-31,1.2179734553205999e-60,1.9346555260417482e-146,9.368219932004901e-67,9.407002349202209e-60,0.000255,3.3726013110157953e-56,6.739346666724148e-94,6.090521502216165e-87,0.0,7.37854252771643e-30,1e-07,7.053317512720667e-30
2.8017480349315616e-33,4.996636784539179e-218,3.2817939156023836e-165,1.036452107653043e-54,0.01,1.0025574859566079e-133,6.389265594153026e-212,2.0051149719132157e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18996084590666e-258,1.5277724819599373e-205,0.0,0.0,0.0,0.0,2.8187944055452312e-186,2.9038072142933356e-30,0.0100001,4.936472264298672e-31,55.56,1.3647893907178677e-30,4.128538030795257e-169,7.044799114101932e-205,0.0,2.3230457714346695e-31,2.4856814061235064e-60,1.1758024458186423e-145,1.9118979967696144e-66,1.9198128435908447e-59,0.000255,6.882918779911391e-56,1.8951004030000406e-93,1.7126511402537275e-86,0.0,1.0540820187884809e-29,1e-07,1.0076211033597879e-29
1.1207076142575354e-32,5.253796366441439e-214,2.7133947252503983e-162,1.6583482325121656e-53,0.01,1.683433509197074e-130,2.4786316348063496e-208,3.366867018394148e-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1170127283152465e-253,5.287755789961615e-202,0.0,0.0,0.0,0.0,9.756096941549746e-183,1.1615315919991347e-29,0.0100001,1.9746037063985296e-30,55.56,5.459198482395933e-30,3.413484698870644e-166,2.4382673300228876e-201,0.0,9.29225273599308e-31,3.9771498711768483e-59,1.1250338404626686e-142,3.0590826534821536e-65,3.0717465982410798e-58,0.000255,1.1012835141063582e-54,1.4122509308399716e-91,1.2762876115685216e-84,0.0,4.21635967895686e-29,1e-07,4.0305146242369984e-29
1.9612404250219145e-32,3.3844832765332545e-212,2.871657320625264e-160,5.078702338482035e-53,0.01,1.9077351260537536e-129,3.48424381235884e-206,3.815470252107507e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.736859409512835e-251,9.796496333894043e-200,0.0,0.0,0.0,0.0,1.8074883129521531e-180,2.032682462568936e-29,0.0100001,3.455560186367192e-30,55.56,9.553607574073998e-30,3.612581034795675e-164,4.517318482250903e-199,0.0,1.626145970055149e-30,1.2180047564944236e-58,1.9347903364622767e-141,9.368460689534739e-65,9.407244103416478e-58,0.000255,3.372687984809393e-54,6.739587478711064e-91,6.090739130223274e-84,0.0,7.378637339125239e-29,1e-07,7.05340814511421e-29
2.801773235786294e-32,4.997150188064585e-210,3.2819886366943506e-159,1.036470752867491e-52,0.01,1.0026002384354857e-128,6.389941740424318e-204,2.0052004768709714e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19078088068017e-249,1.5278746641200802e-198,0.0,0.0,0.0,0.0,2.8189829352541772e-179,2.903833333138737e-29,0.0100001,4.936516666335855e-30,55.56,1.3648016665752063e-29,4.1287829923785425e-163,7.045270292107661e-198,0.0,2.3230666665109903e-30,2.4857261221914506e-58,1.1758560626416108e-140,1.9119323907834716e-64,1.9198473799885276e-57,0.000255,6.883042599908217e-54,1.8951495485350404e-90,1.712695554341985e-83,0.0,1.054091499929362e-28,1e-07,1.0076301665991421e-28
1.1207101343430086e-31,5.254065841373506e-206,2.713482969382276e-156,1.6583556906286915e-51,0.01,1.6834488614791468e-125,2.47877779558846e-200,3.3668977229582935e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1170810090638403e-244,5.287938817012278e-195,0.0,0.0,0.0,0.0,9.756434632948532e-176,1.1615342038836748e-28,0.0100001,1.974608146602248e-29,55.56,5.459210758253272e-29,3.413595711098658e-160,2.4383517266735404e-194,0.0,9.292273631069402e-30,3.9771677576777635e-57,1.1250513058752972e-137,3.0590964111444123e-63,3.0717604128571025e-56,0.000255,1.1012884669266496e-52,1.412258794190404e-88,1.2762947178812349e-81,0.0,4.21636916009774e-28,1e-07,4.030523687476353e-28
1.9612429451073877e-31,3.384598787397249e-204,2.8716844276876013e-154,5.0787153901936404e-51,0.01,1.9077462474188977e-124,3.4843653594062476e-198,3.8154924948377955e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7369580182598506e-242,9.796599652544355e-193,0.0,0.0,0.0,0.0,1.8075073756095144e-173,2.032685074453476e-28,0.0100001,3.4555646265709106e-29,55.56,9.553619849931337e-29,3.6126151358211027e-158,4.5173661241049616e-192,0.0,1.6261480595627814e-29,1.218007886633927e-56,1.9348038178755736e-136,9.368484765457871e-63,9.407268279008753e-56,0.000255,3.372696652250007e-52,6.73961156025013e-88,6.090760893331589e-81,0.0,7.37864682026612e-28,1e-07,7.053417208353563e-28
2.801775755871767e-31,4.997201530859392e-202,3.2820081093274157e-153,1.0364726173981598e-50,0.01,1.0026045137642008e-123,6.3900093583479495e-196,2.0052090275284015e-123,0.0,3.5e-322,0.0,0.0,0.0,0.0,0.0,7.190862888517621e-240,1.5278848826538168e-191,0.0,0.0,0.0,0.0,2.81900178881128e-172,2.9038359450232775e-28,0.0100001,4.936521106539573e-29,55.56,1.3648028941609404e-28,4.128807489195904e-157,7.0453174113733e-191,0.0,2.3230687560186226e-29,2.4857305938203665e-56,1.1758614244283008e-135,1.911935830201872e-62,1.9198508336453808e-55,0.000255,6.883054981969155e-52,1.8951544631371656e-87,1.7126999957947537e-80,0.0,1.05409244804345e-27,1e-07,1.0076310729230775e-27
